Country	Region	Population	Area (sq. mi.)	Pop. Density (per sq. mi.)	Coastline (coast/area ratio)	Net migration	Infant mortality (per 1000 births)	GDP ($ per capita)	Literacy (%)	Phones (per 1000)	Arable (%)	Crops (%)	Other (%)	Climate	Birthrate	Deathrate	Agriculture	Industry	Service
Monaco 	WESTERN EUROPE                     	32543	2	162715	20500	775	543	27000	990	10356	0	0	100		919	1291	17		
Mongolia 	ASIA (EX. NEAR EAST)         	2832224	1564116	18	0	0	5379	1800	978	551	77	0	9923	1	2159	695	206	214	58
Montserrat 	LATIN AMER. & CARIB    	9439	102	925	3922	0	735	3400	970		20	0	80	2	1759	71			
Morocco 	NORTHERN AFRICA                    	33241259	446550	744	41	-98	4162	4000	517	404	1961	217	7822		2198	558	217	357	426
Mozambique 	SUB-SAHARAN AFRICA                 	19686505	801590	246	31	0	13079	1200	478	35	51	3	946	2	3518	2135	262	348	39
Namibia 	SUB-SAHARAN AFRICA                 	2044147	825418	25	19	0	4898	7200	840	626	99	0	9901	1	2432	1886	97	315	588
Nauru 	OCEANIA                            	13287	21	6327	14286	0	995	5000		1430	0	0	100	2	2476	67			
Nepal 	ASIA (EX. NEAR EAST)         	28287147	147181	1922	0	0	6698	1400	452	159	2168	64	7768		3098	931	38	21	41
Netherlands 	WESTERN EUROPE                     	16491461	41526	3971	109	291	504	28600	990	4608	2671	97	7232	3	109	868	21	244	736
Netherlands Antilles 	LATIN AMER. & CARIB    	221736	960	2310	3792	-41	1003	11400	967	3653	10	0	90	2	1478	645	1	15	84
New Caledonia 	OCEANIA                            	219246	19060	115	1183	0	772	15000	910	2522	38	33	9929	2	1811	569	15	88	762
New Zealand 	OCEANIA                            	4076140	268680	152	563	405	585	21600	990	4417	56	699	8741	3	1376	753	43	273	684
Nicaragua 	LATIN AMER. & CARIB    	5570129	129494	430	70	-122	2911	2300	675	397	1594	194	8212	2	2451	445	165	275	56
Niger 	SUB-SAHARAN AFRICA                 	12525094	1267000	99	0	-67	12169	800	176	19	354	1	9645	1	5073	2091	39	17	44
Nigeria 	SUB-SAHARAN AFRICA                 	131859731	923768	1427	9	26	988	900	680	93	3129	296	6575	15	4043	1694	269	487	244
N. Mariana Islands 	OCEANIA                            	82459	477	1729	31069	961	711	12500	970	2547	1304	435	8261	2	1943	229			
Norway 	WESTERN EUROPE                     	4610820	323802	142	777	174	37	37800	1000	4617	287	0	9713	3	1146	94	21	415	564
Oman 	NEAR EAST                          	3102229	212460	146	98	28	1951	13100	758	855	0	14	9974	1	3624	381	27	39	583
Pakistan 	ASIA (EX. NEAR EAST)         	165803560	803940	2062	13	-277	7244	2100	457	318	2787	87	7126	1	2974	823	216	251	533
Palau 	OCEANIA                            	20579	458	449	33166	285	1484	9000	920	3256	87	435	8695	2	1803	68	62	12	818
Panama 	LATIN AMER. & CARIB    	3191319	78200	408	318	-91	2047	6300	926	1379	736	198	9066	2	2174	536	68	156	776
Papua New Guinea 	OCEANIA                            	5670544	462840	123	111	0	5145	2200	646	109	46	144	981	2	2936	725	353	381	266
Paraguay 	LATIN AMER. & CARIB    	6506464	406750	160	0	-8	2563	4700	940	492	76	23	9217	2	291	449	224	207	569
Peru 	LATIN AMER. & CARIB    	28302603	1285220	220	19	-105	3194	5100	909	795	289	4	9671	15	2048	623	8	27	65
Philippines 	ASIA (EX. NEAR EAST)         	89468677	300000	2982	1210	-15	2351	4600	926	384	1895	1677	6428	2	2489	541	144	326	53
Poland 	EASTERN EUROPE                     	38536869	312685	1233	16	-49	851	11100	998	3063	4591	112	5297	3	985	989	5	311	64
Portugal 	WESTERN EUROPE                     	10605870	92391	1148	194	357	505	18000	933	3992	2175	781	7044	3	1072	105	53	274	673
Puerto Rico 	LATIN AMER. & CARIB    	3927188	13790	2848	363	-146	824	16800	941	2831	395	552	9053	2	1277	765	1	45	54
Qatar 	NEAR EAST                          	885359	11437	774	492	1629	1861	21500	825	2320	164	27	9809	1	1556	472	2	801	197
Reunion 	SUB-SAHARAN AFRICA                 	787584	2517	3129	822	0	778	5800	889	3809	136	12	852	2	189	549	8	19	73
Romania 	EASTERN EUROPE                     	22303552	237500	939	9	-13	2643	7000	984	1969	4082	225	5693	3	107	1177	101	35	549
